,accX,accY,accZ,gyroX,gyroY,gyroZ
182,0.118347,-0.046082,0.963745,19.104004,11.84082,19.042969
183,0.112366,-0.035583,0.971558,19.004822,13.183594,17.753601
184,0.095764,-0.020325,0.980652,18.52417,14.198303,16.662598
185,0.073303,0.003662,0.992493,17.555237,14.434814,16.601563
186,0.052185,0.028137,1.00293,15.686035,12.9776,18.302917
187,0.026001,0.054565,1.021912,10.665894,6.622314,27.000427
188,0.02948,0.048462,1.020447,7.850647,2.433777,32.951355
189,0.039246,0.038452,1.010681,5.050659,-1.51062,38.551331
190,0.05127,0.02771,1.00238,2.723694,-4.867554,43.075562
191,0.061401,0.020996,0.993042,0.640869,-7.461548,46.562195
192,0.073364,0.013123,0.988403,-1.12915,-9.58252,49.27063
193,0.086426,0.0047,0.9823,-3.143311,-11.46698,52.017212
194,0.099426,-0.00354,0.979126,-3.890991,-11.543274,52.833557
195,0.0979,-0.003113,0.978027,-4.753113,-11.405945,53.642273
196,0.101257,-0.005554,0.974548,-5.645752,-11.161804,55.099487
197,0.104797,-0.010498,0.974121,-6.469727,-11.054993,56.663513
198,0.113403,-0.013794,0.97406,-7.225037,-10.879517,58.265686
199,0.119019,-0.018066,0.973572,-8.598328,-8.956909,60.310364
200,0.16449,-0.06073,0.950806,-9.117126,-6.439209,59.516907
201,0.163147,-0.07135,0.957153,-9.162903,-2.578735,56.129456
202,0.139526,-0.075623,0.956238,-8.125305,0.984192,52.711487
203,0.147766,-0.094421,0.930664,-5.943298,3.40271,50.476074
204,0.110413,-0.087341,0.946716,-4.119873,6.141663,47.462463
205,0.091003,-0.085388,0.945251,0.061035,6.500244,46.005249
206,0.085571,-0.087952,0.987305,2.738953,6.103516,45.272827
207,0.095093,-0.099731,0.984558,6.80542,5.760193,44.189453
208,0.08197,-0.09613,0.9823,11.550903,6.210327,42.358398
209,0.050476,-0.076416,0.947937,17.242432,7.392883,41.572571
210,0.026489,-0.054016,0.908936,23.918152,6.195068,42.907715
211,0.027954,-0.040283,0.928162,47.88208,2.166748,46.363831
212,0.050781,-0.053711,0.882507,60.142517,4.219055,45.898438
213,0.055969,-0.046143,0.926331,67.634583,4.089355,44.85321
214,0.068176,-0.035767,1.010803,73.501587,3.692627,43.617249
215,0.065796,-0.010193,1.031738,78.994751,5.699158,42.198181
216,0.056946,0.008301,1.001221,84.594727,7.530212,40.039063
217,0.056824,0.06073,0.963684,84.854126,6.698608,39.207458
218,0.065369,0.086548,0.973022,85.296631,6.622314,37.132263
219,0.064453,0.100098,0.951233,86.257935,8.468628,34.111023
220,0.067993,0.106934,0.947876,85.380554,9.613037,30.822754
221,0.086182,0.116394,0.985779,76.393127,13.046265,22.064209
222,0.087769,0.139648,0.986816,69.046021,16.540527,16.654968
223,0.087158,0.141052,0.98468,59.326172,18.630981,11.497498
224,0.093018,0.144287,1.003662,48.408508,19.920349,6.629944
225,-0.001038,0.248474,1.061279,37.80365,20.683289,2.624512
226,0.032166,0.214478,1.018738,31.211853,15.190125,4.40979
227,0.056824,0.161804,0.979431,27.626038,13.031006,4.119873
228,0.046997,0.146179,0.930603,20.179749,12.47406,-0.617981
229,0.022644,0.123657,0.996521,15.289307,8.178711,-0.175476
230,0.02301,0.100586,1.035461,12.290955,4.577637,1.00708
231,0.017151,0.076172,1.023682,10.108948,1.800537,2.784729
232,0.026306,0.052856,1.007874,6.599426,-2.26593,5.04303
233,0.038269,0.039001,1.012573,0.747681,-7.781982,6.92749
234,0.052246,-0.002502,0.978027,-2.227783,-9.178162,6.912231
235,0.067627,-0.02124,0.984253,-7.728577,-11.260986,6.767273
236,0.08783,-0.030823,1.008423,-14.5111,-12.702942,5.79834
237,0.087524,-0.027283,1.027649,-20.80535,-12.985229,3.860474
238,0.104919,-0.046875,0.989319,-28.66363,-14.587402,0.259399
239,0.111023,-0.063782,0.95636,-30.07507,-13.328552,-3.479004
240,0.100891,-0.075562,0.946411,-29.89959,-11.795044,-8.071899
241,0.09491,-0.086609,0.950623,-28.95355,-11.192322,-11.825562
242,0.084351,-0.087463,0.970947,-27.70996,-12.390137,-16.159058
243,0.067139,-0.031921,0.972778,-26.03912,-13.259888,-16.906738
244,0.069275,-0.017334,0.979492,-22.65167,-14.099121,-16.960144
245,0.08197,-0.006042,0.978882,-19.76013,-14.602661,-16.822815
246,0.102905,-0.009583,0.985535,-17.20428,-14.404297,-17.456055
247,0.116394,-0.010376,0.981628,-12.8479,-10.58197,-21.54541
248,0.104431,-0.00824,0.958557,-11.13891,-8.857727,-23.841858
249,0.096436,-0.010132,0.959534,-9.262085,-7.804871,-25.588989
250,0.090881,-0.01416,0.965576,-7.095337,-7.141113,-26.756287
251,0.086914,-0.014954,0.965454,-4.646301,-6.690979,-27.374268
